k_value,fold_number,feature_number,class_rate
5,5,5,0.255218855218855
5,5,5,0.254377104377104
5,5,5,0.24949494949495
5,5,5,0.25
5,5,5,0.253030303030303
5,5,5,0.256060606060606
5,5,5,0.259427609427609
5,5,5,0.250841750841751
5,5,5,0.247474747474748
5,5,5,0.24949494949495
5,5,5,0.26043771043771
5,6,6,0.241750841750842
5,6,6,0.239057239057239
5,6,6,0.237373737373737
5,6,6,0.24040404040404
5,6,6,0.245286195286195
5,6,6,0.248821548821549
5,6,6,0.238552188552189
5,6,6,0.238215488215488
5,6,6,0.242760942760943
5,6,6,0.244444444444444
5,7,7,0.234175084175084
5,7,7,0.232323232323232
5,7,7,0.228451178451178
5,7,7,0.234848484848485
5,7,7,0.237373737373737
5,7,7,0.241919191919192
5,7,7,0.233164983164983
5,7,7,0.229292929292929
5,7,7,0.231144781144781
5,7,7,0.243939393939394
5,8,8,0.232828282828283
5,8,8,0.231481481481482
5,8,8,0.227441077441077
5,8,8,0.235185185185185
5,8,8,0.238720538720539
5,8,8,0.234680134680135
5,8,8,0.233501683501684
5,8,8,0.231986531986532
5,8,8,0.232659932659933
5,8,8,0.24040404040404
5,9,9,0.228282828282828
5,9,9,0.231818181818182
5,9,9,0.21969696969697
5,9,9,0.231313131313131
5,9,9,0.234680134680135
5,9,9,0.233670033670034
5,9,9,0.230808080808081
5,9,9,0.226094276094276
5,9,9,0.225925925925926
5,9,9,0.234175084175084
5,10,10,0.228282828282828
5,10,10,0.230976430976431
5,10,10,0.223569023569024
5,10,10,0.228114478114478
5,10,10,0.238383838383838
5,10,10,0.23013468013468
5,10,10,0.229124579124579
5,10,10,0.232323232323232
5,10,10,0.224747474747475
5,10,10,0.233333333333333
5,11,11,0.22979797979798
5,11,11,0.230639730639731
5,11,11,0.221212121212121
5,11,11,0.22996632996633
5,11,11,0.234511784511785
5,11,11,0.231144781144781
5,11,11,0.227104377104377
5,11,11,0.230639730639731
5,11,11,0.224747474747475
5,11,11,0.231481481481482
5,12,12,0.230976430976431
5,12,12,0.230808080808081
5,12,12,0.222895622895623
5,12,12,0.231986531986532
5,12,12,0.237542087542087
5,12,12,0.228956228956229
5,12,12,0.227441077441077
5,12,12,0.234006734006734
5,12,12,0.226767676767677
5,12,12,0.236026936026936
5,13,13,0.231649831649832
5,13,13,0.234006734006734
5,13,13,0.225925925925926
5,13,13,0.234848484848485
5,13,13,0.241414141414141
5,13,13,0.231818181818182
5,13,13,0.23047138047138
5,13,13,0.232323232323232
