cp,maxcompete,maxdepth,threshold_fu,threshold_nr,fold_number,feature_number,misclassification_rate
0.01,4,20,0.5,0.02,10,5,0.377609428
0.01,4,20,0.5,0.02,10,6,0.377609428
0.01,4,20,0.5,0.02,10,7,0.377609428
0.01,4,20,0.5,0.02,10,8,0.377609428
0.01,4,20,0.5,0.02,10,9,0.377609428
0.01,4,20,0.5,0.02,10,10,0.377609428
0.01,4,20,0.5,0.02,10,11,0.377609428
0.01,4,20,0.5,0.02,10,12,0.377609428
0.01,4,20,0.5,0.02,10,13,0.377609428
0.01,4,20,0.5,0.02,10,14,0.377609428
0.01,4,20,0.5,0.02,10,15,0.377609428
0.01,4,20,0.5,0.02,10,16,0.377609428
0.01,4,20,0.5,0.02,10,17,0.377609428
0.01,4,20,0.5,0.02,10,18,0.377609428
0.01,4,20,0.5,0.02,10,19,0.377609428
0.01,4,20,0.5,0.02,10,20,0.377609428
0.01,4,20,0.5,0.01,10,5,0.377609428
0.01,4,20,0.5,0.01,10,6,0.377609428
0.01,4,20,0.5,0.01,10,7,0.377609428
0.01,4,20,0.5,0.01,10,8,0.377609428
0.01,4,20,0.5,0.01,10,9,0.377609428
0.01,4,20,0.5,0.01,10,10,0.377609428
0.01,4,20,0.5,0.01,10,11,0.377609428
0.01,4,20,0.5,0.01,10,12,0.377609428
0.01,4,20,0.5,0.01,10,13,0.377609428
0.01,4,20,0.5,0.01,10,14,0.377609428
0.01,4,20,0.5,0.01,10,15,0.377609428
0.01,4,20,0.5,0.01,10,16,0.377609428
0.01,4,20,0.5,0.01,10,17,0.377609428
0.01,4,20,0.5,0.01,10,18,0.377609428
0.01,4,20,0.5,0.01,10,19,0.377609428
0.01,4,20,0.5,0.01,10,20,0.377609428
0.01,4,20,0.6,0.02,10,5,0.406734007
0.01,4,20,0.6,0.02,10,6,0.406734007
0.01,4,20,0.6,0.02,10,7,0.406734007
0.01,4,20,0.6,0.02,10,8,0.406734007
0.01,4,20,0.6,0.02,10,9,0.406734007
0.01,4,20,0.6,0.02,10,10,0.406734007
0.01,4,20,0.6,0.02,10,11,0.406734007
0.01,4,20,0.6,0.02,10,12,0.406734007
0.01,4,20,0.6,0.02,10,13,0.406734007
0.01,4,20,0.6,0.02,10,14,0.406734007
0.01,4,20,0.6,0.02,10,15,0.406734007
0.01,4,20,0.6,0.02,10,16,0.406734007
0.01,4,20,0.6,0.02,10,17,0.406734007
0.01,4,20,0.6,0.02,10,18,0.406734007
0.01,4,20,0.6,0.02,10,19,0.406734007
0.01,4,20,0.6,0.02,10,20,0.406734007
0.01,4,20,0.6,0.01,10,5,0.406734007
0.01,4,20,0.6,0.01,10,6,0.406734007
0.01,4,20,0.6,0.01,10,7,0.406734007
0.01,4,20,0.6,0.01,10,8,0.406734007
0.01,4,20,0.6,0.01,10,9,0.406734007
0.01,4,20,0.6,0.01,10,10,0.406734007
0.01,4,20,0.6,0.01,10,11,0.406734007
0.01,4,20,0.6,0.01,10,12,0.406734007
0.01,4,20,0.6,0.01,10,13,0.406734007
0.01,4,20,0.6,0.01,10,14,0.406734007
0.01,4,20,0.6,0.01,10,15,0.406734007
0.01,4,20,0.6,0.01,10,16,0.406734007
0.01,4,20,0.6,0.01,10,17,0.406734007
0.01,4,20,0.6,0.01,10,18,0.406734007
0.01,4,20,0.6,0.01,10,19,0.406734007
0.01,4,20,0.6,0.01,10,20,0.406734007
0.01,4,20,0.65,0.02,10,5,0.406734007
0.01,4,20,0.65,0.02,10,6,0.406734007
0.01,4,20,0.65,0.02,10,7,0.406734007
0.01,4,20,0.65,0.02,10,8,0.406734007
0.01,4,20,0.65,0.02,10,9,0.406734007
0.01,4,20,0.65,0.02,10,10,0.406734007
0.01,4,20,0.65,0.02,10,11,0.406734007
0.01,4,20,0.65,0.02,10,12,0.406734007
0.01,4,20,0.65,0.02,10,13,0.406734007
0.01,4,20,0.65,0.02,10,14,0.406734007
0.01,4,20,0.65,0.02,10,15,0.406734007
0.01,4,20,0.65,0.02,10,16,0.406734007
0.01,4,20,0.65,0.02,10,17,0.406734007
0.01,4,20,0.65,0.02,10,18,0.406734007
0.01,4,20,0.65,0.02,10,19,0.406734007
0.01,4,20,0.65,0.02,10,20,0.406734007
0.01,4,20,0.65,0.01,10,5,0.406734007
0.01,4,20,0.65,0.01,10,6,0.406734007
0.01,4,20,0.65,0.01,10,7,0.406734007
0.01,4,20,0.65,0.01,10,8,0.406734007
0.01,4,20,0.65,0.01,10,9,0.406734007
0.01,4,20,0.65,0.01,10,10,0.406734007
0.01,4,20,0.65,0.01,10,11,0.406734007
0.01,4,20,0.65,0.01,10,12,0.406734007
